,Date andtime (UTC),"Version,Booster [a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,date,day,year,month,time,season
93,4 May 202119:01:07[185],F9 B5 ♺ B1049.9[186],"KSC,LC-39A",Starlink 25 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-05-04 19:01:00,Tuesday,2021,5,19:01:00,Spring
94,9 May 202106:42:45[187],F9 B5 ♺ B1051.10[188],"CCSFS,SLC-40",Starlink 27 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-05-09 06:42:00,Sunday,2021,5,06:42:00,Spring
95,15 May 202122:56[190],F9 B5 ♺ B1058.8,"KSC,LC-39A",Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130[191],"~14,000 kg (31,000 lb)",LEO,SpaceX Capella Space and Tyvak,Success,Success(drone ship),2021-05-15 22:56:00,Saturday,2021,5,22:56:00,Spring
96,26 May 202118:59:35[193],F9 B5 ♺ B1063.2,"CCSFS,SLC-40",Starlink 28 v1.0 (60 Satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),2021-05-26 18:59:00,Wednesday,2021,5,18:59:00,Spring
97,3 June 202117:29:17[195],F9 B5 B1067.1[196],"KSC,LC-39A",SpaceX CRS-22(Dragon C209.1),"3,328 kg (7,337 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),2021-06-03 17:29:00,Thursday,2021,6,17:29:00,Summer
98,6 June 202104:26[203],F9 B5 ♺ B1061.3,"CCSFS,SLC-40",SXM-8[204],"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success(drone ship),2021-06-06 04:26:00,Sunday,2021,6,04:26:00,Summer
99,17 June 202116:09:35[206],F9 B5 ♺ B1062.2[207],"CCSFS,SLC-40",USA-319 / GPS III-05 (Neil Armstrong)[67][208],"4,331 kg (9,548 lb)[209]",MEO,USSF[56],Success,Success(drone ship),2021-06-17 16:09:00,Thursday,2021,6,16:09:00,Summer
100,30 June 202119:31[215],F9 B5 ♺ B1060.8,"CCSFS,SLC-40",Transporter-2: (88 payloads Smallsat Rideshare),Unknown[e],SSO,Various,Success,Success(ground pad),2021-06-30 19:31:00,Wednesday,2021,6,19:31:00,Summer
101,29 August 202107:14:49[220],F9 B5 ♺ B1061.4,"KSC,LC-39A",SpaceX CRS-23(Dragon C208.2 ♺ ),"~2,200 kg (4,900 lb) (excl. Dragon mass)",LEO (ISS),NASA (CRS),Success,Success(drone ship),2021-08-29 07:14:00,Sunday,2021,8,07:14:00,Summer
102,14 September 202103:55:50[223],F9 B5 ♺ B1049.10[224],"VSFB,SLC-4E","Starlink Group 2-1 (v1.5 L1, 51 satellites)[225][226]","~13,260 kg (29,230 lb)",LEO,SpaceX,Success,Success(drone ship),2021-09-14 03:55:00,Tuesday,2021,9,03:55:00,Autumn
